"Scus94491BpeSegment::scriptSetIndicatorsDisabled","in","bool","disabled","True to disable indicators","none"
"Audio::scriptStopEncounterSoundEffects","in","int","index","The sound effect index","none"
"Audio::scriptPlaySound","in","int","soundFileIndex","The sound file index","none"
"Audio::scriptPlaySound","in","int","soundIndex","The sound index","none"
"Audio::scriptPlaySound","in","int","unused1","","none"
"Audio::scriptPlaySound","in","int","unused2","","none"
"Audio::scriptPlaySound","in","int","initialDelay","The initial delay before the sound starts","none"
"Audio::scriptPlaySound","in","int","repeatDelay","The delay before a sound repeats","none"
"Audio::scriptStopSound","in","int","soundFileIndex","The sound file index","none"
"Audio::scriptStopSound","in","int","soundIndex","The sound index","none"
"Audio::scriptStopSound","in","int","mode","","none"
"Battle::scriptPlayBentSound","in","int","type","1 = player, 2 = monster","none"
"Battle::scriptPlayBentSound","in","int","bentIndex","The BattleEntity27c index","none"
"Battle::scriptPlayBentSound","in","int","soundIndex","The sound index","none"
"Battle::scriptPlayBentSound","in","int","a3","","none"
"Battle::scriptPlayBentSound","in","int","a4","","none"
"Battle::scriptPlayBentSound","in","int","initialDelay","The initial delay before the sound starts","none"
"Battle::scriptPlayBentSound","in","int","repeatDelay","The delay before a sound repeats","none"
"Battle::scriptStopBentSound","in","int","unused","","none"
"Battle::scriptStopBentSound","in","int","bentIndex","The BattleEntity27c index","none"
"Battle::scriptStopBentSound","in","int","soundIndex","The sound index","none"
"Battle::scriptStopBentSound","in","int","mode","","none"
"Audio::scriptStartEncounterSounds","in","int","p0","","none"
"Audio::scriptStopEncounterSounds","in","int","p0","","none"
"Audio::scriptStopEncounterSounds2","in","int","p0","","none"
"Audio::FUN_8001b094","in","int","p0","","none"
"Audio::FUN_8001b134","in","int","p0","","none"
"Audio::FUN_8001b134","in","int","p1","","none"
"Audio::scriptSetMainVolume","in","int","left","The left volume","none"
"Audio::scriptSetMainVolume","in","int","right","The right volume","none"
"Audio::scriptSetSequenceVolume","in","int","volume","The volume","none"
"Audio::scriptSetAllSoundSequenceVolumes","in","int","volume","The volume","none"
"Audio::scriptSssqFadeIn","in","int","fadeTime","The number of ticks to fade in","none"
"Audio::scriptSssqFadeIn","in","int","volume","The volume once the fade in has finished","none"
"SMap::scriptMapTransition","in","int","submapCut","The submap cut","none"
"SMap::scriptMapTransition","in","int","submapScene","The submap scene","none"
"SMap::scriptGetCameraOffset","out","float","x","The camera X offset","none"
"SMap::scriptGetCameraOffset","out","float","y","The camera Y offset","none"
"SMap::scriptSetCameraOffset","in","float","x","The camera X offset","none"
"SMap::scriptSetCameraOffset","in","float","y","The camera Y offset","none"
"SMap::scriptGetCollisionAndTransitionInfo","out","int","flags","The collision and transition info","none"
"SMap::scriptGetCollisionAndTransitionInfo","in","int","collisionPrimitiveIndex","The index","none"
"SMap::scriptBlockCollisionPrimitive","in","int","collisionPrimitiveIndex","The index","none"
"SMap::scriptUnblockCollisionPrimitive","in","int","collisionPrimitiveIndex","The index","none"
"SMap::scriptSetEnvForegroundPosition","in","int","x","The new X position","none"
"SMap::scriptSetEnvForegroundPosition","in","int","y","The new Y position","none"
"SMap::scriptSetEnvForegroundPosition","in","int","overlayIndex","The overlay index","none"
"SMap::scriptSetModeParamForNextCallToScriptSetCameraOffsetOrHideSubmapForegroundObject","in","int","mode","< 3, sets the mode for a subsequent call to scriptSetCameraOffset; 3 hides foreground object","none"
"SMap::scriptSetModeParamForNextCallToScriptSetCameraOffsetOrHideSubmapForegroundObject","in","int","foregroundObjectIndex","The foreground object index","none"
"SMap::scriptSetModeParamForNextCallToScriptSetCameraOffsetOrHideSubmapForegroundObject","out","int","out","The value passed in for mode, unless mode is 3, in which case the mode variable isn't updated and the previous value is returned","none"
"SMap::scriptGetSetEncountersDisabled","in","bool","set","True to disable encounters, false otherwise","none"
"SMap::scriptGetSetEncountersDisabled","in","bool","apply","If false, does not update value, only returns it","none"
"SMap::scriptGetSetEncountersDisabled","out","int","value","The value of the submap flags (0x1 - encounters disabled)","none"
"SMap::scriptSetEnvironmentOverlayDepthModeAndZ","in","int","mode","The layering/depth mode","none"
"SMap::scriptSetEnvironmentOverlayDepthModeAndZ","in","int","overlayIndex","The overlay index","none"
"SMap::scriptSetEnvironmentOverlayDepthModeAndZ","in","int","z","The new Z position (only applies in modes 2 and 5","none"
"SMap::scriptSetEnvironmentOverlayDepthModeAndZ","out","int","out","The overlay's Z position","none"
"SMap::scriptGetCollisionPrimitivePos","in","int","collisionPrimitiveIndex","The collision primitive index","none"
"SMap::scriptGetCollisionPrimitivePos","out","float","x","The X position","none"
"SMap::scriptGetCollisionPrimitivePos","out","float","y","The Y position","none"
"SMap::scriptGetCollisionPrimitivePos","out","float","z","The Z position","none"
"SMap::FUN_800e6be0","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::FUN_800e6be0","out","float","z","The calculated Z value","none"
"SMap::FUN_800e6cac","in","int","x","The camera X offset","none"
"SMap::FUN_800e6cac","in","int","Y","The camera Y offset","none"
"SMap::scriptStartFmv","in","int","fmvIndex","The FMV index to play","none"
"SMap::scriptStartFmv","in","int","engineStateAfterFmv","The engine state to transition to after the FMV","none"
"SMap::scriptStartFmv","in","int","submapCutAfterFmv","The submap cut after the FMV","none"
"SMap::scriptStartFmv","in","int","submapSceneAfterFmv","The submap scene after the FMV","none"
"SMap::scriptSelfHideModelPart","in","int","partIndex","The model part index","none"
"SMap::scriptSelfShowModelPart","in","int","partIndex","The model part index","none"
"SMap::scriptScaleXyz","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptScaleXyz","in","int","x","The new X scale (12-bit fixed-point)","none"
"SMap::scriptScaleXyz","in","int","y","The new Y scale (12-bit fixed-point)","none"
"SMap::scriptScaleXyz","in","int","z","The new Z scale (12-bit fixed-point)","none"
"SMap::scriptScaleUniform","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptScaleUniform","in","int","scale","The new XYZ scale (12-bit fixed-point)","none"
"SMap::scriptSetModelZOffset","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetModelZOffset","in","int","offset","The new Z offset","none"
"SMap::scriptSelfSetSobjFlag","in","int","bitIndex","The flag to set","none"
"SMap::scriptSelfSetSobjFlag","in","bool","value","The flag value","none"
"SMap::scriptSelfGetSobjFlag","in","int","bitIndex","The flag to get","none"
"SMap::scriptSelfGetSobjFlag","out","bool","value","The flag value","none"
"SMap::scriptAddTriangleIndicator","in","int","collisionPrimitiveIndex","","none"
"SMap::scriptAddTriangleIndicator","in","int","indicatorType","","none"
"SMap::scriptAddTriangleIndicators","in","int_array","dataStream","Param-encoded indicator structures","none"
"SMap::scriptShowAlertIndicator","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptShowAlertIndicator","in","int","y","The Y offset for the indicator","none"
"SMap::scriptHideAlertIndicator","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::FUN_800dfd48","in","int","p0","","none"
"SMap::FUN_800e05c8","in","int","index","","none"
"SMap::FUN_800e05c8","in","int","value","","none"
"SMap::FUN_800e05f0","in","int","index","","none"
"SMap::scriptEnableSobjFlatLight","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptEnableSobjFlatLight","in","int","r","The red colour","none"
"SMap::scriptEnableSobjFlatLight","in","int","g","The green colour","none"
"SMap::scriptEnableSobjFlatLight","in","int","b","The blue colour","none"
"SMap::scriptDisableSobjFlatLight","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetSobjCollision1","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetSobjCollision1","in","int","horizontalSize","The horizontal collision size","none"
"SMap::scriptSetSobjCollision1","in","int","verticalSize","The vertical collision size","none"
"SMap::scriptGetSobjCollidedWith1","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptGetSobjCollidedWith1","out","int","collided","True if the submap object is collided","none"
"SMap::scriptSetSobjCollision2","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetSobjCollision2","in","int","horizontalSize","The horizontal collision size","none"
"SMap::scriptSetSobjCollision2","in","int","verticalSize","The vertical collision size","none"
"SMap::scriptSetSobjCollision2","in","int","reach","The collision reach","none"
"SMap::scriptGetSobjCollidedWith2","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptGetSobjCollidedWith2","out","int","collided","True if the submap object is collided","none"
"SMap::scriptSetAmbientColour","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetAmbientColour","in","int","r","The red channel","none"
"SMap::scriptSetAmbientColour","in","int","g","The green channel","none"
"SMap::scriptSetAmbientColour","in","int","b","The blue channel","none"
"SMap::scriptResetAmbientColour","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptEnableShadow","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptDisableShadow","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetShadowSize","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetShadowSize","in","int","x","The X size of the shadow","none"
"SMap::scriptSetShadowSize","in","int","z","The Z size of the shadow","none"
"SMap::scriptSetShadowOffset","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetShadowOffset","in","float","x","The X offset of the shadow","none"
"SMap::scriptSetShadowOffset","in","float","y","The Y offset of the shadow","none"
"SMap::scriptSetShadowOffset","in","float","z","The Z offset of the shadow","none"
"SMap::scriptCheckPlayerCollision","in","int","deltaX","Movement along the X axis","none"
"SMap::scriptCheckPlayerCollision","in","int","deltaY","Movement along the Y axis","none"
"SMap::scriptCheckPlayerCollision","in","int","deltaZ","Movement along the Z axis","none"
"SMap::scriptCheckPlayerCollision","out","int","collidee","The SubmapObject210 script index collided with, or -1 if not collided","none"
"SMap::scriptGetPlayerMovement","out","float","x","The X movement","none"
"SMap::scriptGetPlayerMovement","out","float","y","The Y movement","none"
"SMap::scriptGetPlayerMovement","out","float","z","The Z movement","none"
"SMap::scriptSwapShadowTexture","in","int","type","0 = normal, 1 = darker","none"
"SMap::scriptSetSobjPlayerCollisionMetrics","in","int","sobjIndex","The SubmapObject210 script index","none"
"SMap::scriptSetSobjPlayerCollisionMetrics","in","int","horizontalSize","The horizontal collision size","none"
"SMap::scriptSetSobjPlayerCollisionMetrics","in","int","verticalSize","The vertical collision size","none"
"SMap::scriptSetSobjPlayerCollisionMetrics","in","int","reach","The collision reach","none"
"SMap::FUN_800e0cb8","in","int","sobjIndex","The SubmapObject210 script index","none"
"Battle::scriptEnableBentTextureAnimation","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptEnableBentTextureAnimation","in","int","textureIndex","The texture index","none"
"Battle::scriptEnableBentTextureAnimation","in","bool","enabled","True to enable, false otherwise","none"
"Battle::scriptSetLoadingBentAnimationIndex","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetLoadingBentAnimationIndex","in","bool","animIndex","The animation index","none"
"Battle::FUN_800cb95c","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetModelPartVisibility","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetModelPartVisibility","in","int","partIndex","The model part index","none"
"Battle::scriptSetModelPartVisibility","in","bool","visible","True for visible, false otherwise","none"
"Battle::scriptCopyVram","in","int","destX","The destination X coordinate","none"
"Battle::scriptCopyVram","in","int","destY","The destination Y coordinate","none"
"Battle::scriptCopyVram","in","int","width","The block width","none"
"Battle::scriptCopyVram","in","int","height","The block height","none"
"Battle::scriptCopyVram","in","int","sourceX","The source X coordinate","none"
"Battle::scriptCopyVram","in","int","sourceY","The source Y coordinate","none"
"Battle::scriptLoadGlobalAsset","in","int","drgnIndex","The DRGN#.BIN index","none"
"Battle::scriptLoadGlobalAsset","in","int","fileIndex","The file index","none"
"Battle::scriptLoadGlobalAsset","out","int","index","The output battleState_8006e398._580 array index","none"
"Battle::scriptWaitGlobalAssetAllocation","in","int","index","The battleState_8006e398._580 array index","none"
"Battle::scriptDeallocateGlobalAsset","in","int","index","The input battleState_8006e398._580 array index","none"
"Battle::scriptAddCombatant","in","int","charIndexAndFlags","Exact use unknown, seems to be flags, and possibly character ID in the higher bits?","none"
"Battle::scriptAddCombatant","out","int","combatantIndex","The new combatant's index","none"
"Battle::scriptDeallocateAndRemoveCombatant","in","int","combatantIndex","The combatant's index","none"
"Battle::FUN_800cda78","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptAllocateBent","in","int","entrypointIndex","The entrypoint of this script for the new battle entity to enter","none"
"Battle::scriptAllocateBent","in","int","combatantIndex","The combatant to attach to the new battle entity","none"
"Battle::scriptAllocateBent","out","int","scriptIndex","The allocated script index","none"
"Battle::scriptLoadModelToCombatantFromGlobalAssets","in","int","combatantIndex","The combatant index","none"
"Battle::scriptLoadModelToCombatantFromGlobalAssets","in","int","index","The input battleState_8006e398._580 array index","none"
"Battle::FUN_800cd7a8","in","int","p0","Combatant index","none"
"Battle::FUN_800cd7a8","in","int","p1","","none"
"Battle::scriptLoadAnimToCombatantFromGlobalAssetsOrDeallocate","in","int","combatantIndex","The combatant index","none"
"Battle::scriptLoadAnimToCombatantFromGlobalAssetsOrDeallocate","in","int","animIndex","Combatant's assets_14 index","none"
"Battle::scriptLoadAnimToCombatantFromGlobalAssetsOrDeallocate","in","int","index","The input battleState_8006e398._580 array index","none"
"Battle::scriptLoadTextureToCombatantFromGlobalAssets","in","int","combatantIndex","The combatant index","none"
"Battle::scriptLoadTextureToCombatantFromGlobalAssets","in","int","index","The input battleState_8006e398._580 array index","none"
"Battle::scriptGetBentNobj","in","int","bentIndex","The BattleEntity27c's script index","none"
"Battle::scriptGetBentNobj","out","int","count","","none"
"Battle::scriptDeallocateCombatant","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptLoadStage","in","int","stageIndex","The stage index","none"
"Battle::FUN_800cd910","in","int","drgnIndex","The DRGN#.BIN index","none"
"Battle::FUN_800cd910","in","int","fileIndex","The file index","none"
"Battle::FUN_800cd910","out","int","queueIndex","The index into the file queue","none"
"Battle::scriptGetCombatantIndex","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetCombatantIndex","out","int","combatantIndex","The combatant index","none"
"Battle::scriptGetBentSlot","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetBentSlot","out","int","charOrBentSlot","The character or battle entity slot","none"
"Battle::scriptGetBentSlot","in","bool","mode","If true, returns character slot, if false returns battle entity slot","none"
"Battle::scriptLoadDragoonDeffSync","in","int","flagsAndIndex","The effect manager's flags in the upper 16 bits, DEFF index in the lower 16 bits","none"
"Battle::scriptLoadDragoonDeffSync","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptLoadDragoonDeffSync","in","int","p2","","none"
"Battle::scriptLoadDragoonDeffSync","in","int","scriptEntrypoint","The effect manager's entrypoint into this script","none"
"Battle::scriptSetLightDirection","in","int","lightIndex","The light index","none"
"Battle::scriptSetLightDirection","in","int","x","The X direction (PSX degrees)","none"
"Battle::scriptSetLightDirection","in","int","y","The Y direction (PSX degrees)","none"
"Battle::scriptSetLightDirection","in","int","z","The Z direction (PSX degrees)","none"
"Battle::scriptGetLightDirection","in","int","lightIndex","The light index","none"
"Battle::scriptGetLightDirection","out","int","x","The X direction (PSX degrees)","none"
"Battle::scriptGetLightDirection","out","int","y","The Y direction (PSX degrees)","none"
"Battle::scriptGetLightDirection","out","int","z","The Z direction (PSX degrees)","none"
"Battle::FUN_800e48a8","in","int","lightIndex","The light index","none"
"Battle::FUN_800e48a8","in","int","x","The X direction (PSX degrees)","none"
"Battle::FUN_800e48a8","in","int","y","The Y direction (PSX degrees)","none"
"Battle::FUN_800e48a8","in","int","z","The Z direction (PSX degrees)","none"
"Battle::FUN_800e48e8","in","int","lightIndex","The light index","none"
"Battle::FUN_800e48e8","out","int","x","The X direction (PSX degrees)","none"
"Battle::FUN_800e48e8","out","int","y","The Y direction (PSX degrees)","none"
"Battle::FUN_800e48e8","out","int","z","The Z direction (PSX degrees)","none"
"Battle::FUN_800e4964","in","int","lightIndex","The light index","none"
"Battle::FUN_800e4964","in","int","index","Either a light index or battle entity index","none"
"Battle::FUN_800e4964","in","int","x","The X direction (PSX degrees)","none"
"Battle::FUN_800e4964","in","int","y","The Y direction (PSX degrees)","none"
"Battle::FUN_800e4964","in","int","z","The Z direction (PSX degrees)","none"
"Battle::FUN_800e4abc","in","int","lightIndex","The light index","none"
"Battle::FUN_800e4abc","both","int","indexAndX","In: either a light index or battle entity index, out: the X direction (PSX degrees)","none"
"Battle::FUN_800e4abc","out","int","y","The Y direction (PSX degrees)","none"
"Battle::FUN_800e4abc","out","int","z","The Z direction (PSX degrees)","none"
"Battle::scriptSetBattleLightColour","in","int","lightIndex","The light index","none"
"Battle::scriptSetBattleLightColour","in","int","r","The red channel (8-bit fixed-point)","none"
"Battle::scriptSetBattleLightColour","in","int","g","The green channel (8-bit fixed-point)","none"
"Battle::scriptSetBattleLightColour","in","int","b","The blue channel (8-bit fixed-point)","none"
"Battle::scriptGetBattleLightColour","in","int","lightIndex","The light index","none"
"Battle::scriptGetBattleLightColour","out","int","r","The red channel (8-bit fixed-point)","none"
"Battle::scriptGetBattleLightColour","out","int","g","The green channel (8-bit fixed-point)","none"
"Battle::scriptGetBattleLightColour","out","int","b","The blue channel (8-bit fixed-point)","none"
"Battle::scriptSetBattleBackgroundLightColour","in","int","r","The red channel (12-bit fixed-point)","none"
"Battle::scriptSetBattleBackgroundLightColour","in","int","g","The green channel (12-bit fixed-point)","none"
"Battle::scriptSetBattleBackgroundLightColour","in","int","b","The blue channel (12-bit fixed-point)","none"
"Battle::scriptGetBattleBackgroundLightColour","out","int","r","The red channel (12-bit fixed-point)","none"
"Battle::scriptGetBattleBackgroundLightColour","out","int","g","The green channel (12-bit fixed-point)","none"
"Battle::scriptGetBattleBackgroundLightColour","out","int","b","The blue channel (12-bit fixed-point)","none"
"Battle::FUN_800e4dfc","in","int","lightIndex","The light index","none"
"Battle::FUN_800e4e2c","in","int","lightIndex","The light index","none"
"Battle::FUN_800e4e64","in","int","lightIndex","The light index","none"
"Battle::FUN_800e4e64","out","int","out","","none"
"Battle::FUN_800e4ea0","in","int","lightIndex","The light index","none"
"Battle::FUN_800e4ea0","in","int","x (PSX degrees)","","none"
"Battle::FUN_800e4ea0","in","int","y (PSX degrees)","","none"
"Battle::FUN_800e4ea0","in","int","z (PSX degrees)","","none"
"Battle::FUN_800e4ea0","in","int","ticks","The number of ticks for the change","none"
"Battle::FUN_800e4fa0","in","int","lightIndex","The light index","none"
"Battle::FUN_800e4fa0","in","int","x rotation (PSX degrees)","","none"
"Battle::FUN_800e4fa0","in","int","y rotation (PSX degrees)","","none"
"Battle::FUN_800e4fa0","in","int","z rotation (PSX degrees)","","none"
"Battle::FUN_800e4fa0","in","int","ticks","The number of ticks for the change","none"
"Battle::FUN_800e50e8","in","int","lightIndex","The light index","none"
"Battle::FUN_800e50e8","in","int","lightOrBentIndex","Either a light index or battle entity index","none"
"Battle::FUN_800e50e8","in","int","x","","none"
"Battle::FUN_800e50e8","in","int","y","","none"
"Battle::FUN_800e50e8","in","int","z","","none"
"Battle::FUN_800e50e8","in","int","ticks","The number of ticks for the change","none"
"Battle::FUN_800e52f8","in","int","lightIndex","The light index","none"
"Battle::FUN_800e52f8","in","int","x0","","none"
"Battle::FUN_800e52f8","in","int","y0","","none"
"Battle::FUN_800e52f8","in","int","z0","","none"
"Battle::FUN_800e52f8","in","int","x1","","none"
"Battle::FUN_800e52f8","in","int","y1","","none"
"Battle::FUN_800e52f8","in","int","z1","","none"
"Battle::FUN_800e540c","in","int","lightIndex","The light index","none"
"Battle::FUN_800e540c","in","int","bentIndex","The BattleEntity27c's script index","none"
"Battle::FUN_800e54f8","in","int","lightIndex","The light index","none"
"Battle::FUN_800e5528","in","int","lightIndex","The light index","none"
"Battle::FUN_800e5560","in","int","lightIndex","The light index","none"
"Battle::FUN_800e5560","out","int","value","","none"
"Battle::FUN_800e559c","in","int","lightIndex","The light index","none"
"Battle::FUN_800e559c","in","int","x","","none"
"Battle::FUN_800e559c","in","int","y","","none"
"Battle::FUN_800e559c","in","int","z","","none"
"Battle::FUN_800e559c","in","int","The number of ticks","","none"
"Battle::FUN_800e569c","in","int","lightIndex","The light index","none"
"Battle::FUN_800e569c","in","int","x0","","none"
"Battle::FUN_800e569c","in","int","y0","","none"
"Battle::FUN_800e569c","in","int","z0","","none"
"Battle::FUN_800e569c","in","int","x1","","none"
"Battle::FUN_800e569c","in","int","y1","","none"
"Battle::FUN_800e569c","in","int","z1","","none"
"Battle::FUN_800e59d8","in","int","mode","-1, -2, -3","none"
"Battle::FUN_800e59d8","in","int_array","data","Int or int array","none"
"Battle::scriptCheckPhysicalHit","in","int","attackerIndex","The BattleEntity27c attacker script index","none"
"Battle::scriptCheckPhysicalHit","in","int","defenderIndex","The BattleEntity27c defender script index","none"
"Battle::scriptCheckPhysicalHit","out","bool","hit","True if attack hit, false otherwise","none"
"Battle::scriptPhysicalAttack","in","int","attackerIndex","The BattleEntity27c attacker script index","none"
"Battle::scriptPhysicalAttack","in","int","defenderIndex","The BattleEntity27c defender script index","none"
"Battle::scriptPhysicalAttack","out","int","damage","The amount of damage done","none"
"Battle::scriptPhysicalAttack","out","int","specialEffects","Status effect bitset (or -1 for none)","none"
"Battle::scriptGetBentPos2","in","int","attackerIndex","The BattleEntity27c attacker script index","none"
"Battle::scriptGetBentPos2","out","int","x","The X position","none"
"Battle::scriptGetBentPos2","out","int","y","The Y position","none"
"Battle::scriptGetBentPos2","out","int","z","The Z position","none"
"Battle::scriptAddFloatingNumber","in","int","number","The number","none"
"Battle::scriptAddFloatingNumber","in","int","x","The X coordinate","none"
"Battle::scriptAddFloatingNumber","in","int","y","The Y coordinate","none"
"Battle::scriptGiveSp","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGiveSp","in","int","amount","The amount of SP to add","none"
"Battle::scriptGiveSp","out","int","total","The total SP after adding the amount requested","none"
"Battle::scriptConsumeSp","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptConsumeSp","in","int","unused","Unused","none"
"Battle::scriptConsumeSp","in","int","amount","The amount of SP to take away","none"
"Battle::scriptInitSpellAndItemMenu","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptInitSpellAndItemMenu","in","int","menuType","0 = items, 1 = spells, 2 = ?","none"
"Battle::scriptGetItemOrSpellTargetingInfo","out","int","selectionState","0 - nothing selected, 1 - item/spell selected, -1 - menu unloading","none"
"Battle::scriptGetItemOrSpellTargetingInfo","out","int","targetBentIndex","The targeted BattleEntity27c script index (or -1 if attack all)","none"
"Battle::scriptGetItemOrSpellTargetingInfo","out","int","itemOrSpellId","The item or spell ID selected","none"
"Battle::scriptGetItemOrSpellTargetingInfo","out","int","registryId","The item registry ID (not used for spells yet","none"
"Battle::scriptGetItemOrSpellAttackTarget","in","int","targetMode","","none"
"Battle::scriptGetItemOrSpellAttackTarget","out","int","targetBentIndex","The targeted BattleEntity27c script index (or -1 if attack all)","none"
"Battle::scriptDragoonMagicStatusItemAttack","in","int","attackerIndex","The BattleEntity27c attacker script index","none"
"Battle::scriptDragoonMagicStatusItemAttack","in","int","defenderIndex","The BattleEntity27c defender script index","none"
"Battle::scriptDragoonMagicStatusItemAttack","in","int","spellId","The attacker's spell ID","none"
"Battle::scriptDragoonMagicStatusItemAttack","out","int","damage","The amount of damage done","none"
"Battle::scriptDragoonMagicStatusItemAttack","out","int","specialEffects","Status effect bitset (or -1 for none)","none"
"Battle::scriptSetTempSpellStats","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptRenderRecover","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptRenderRecover","in","int","amount","The amount recovered","none"
"Battle::scriptRenderRecover","in","int","colourIndex","Which colour to use (indices are unknown)","none"
"Battle::scriptItemMagicAttack","in","int","attackerIndex","The BattleEntity27c attacker script index","none"
"Battle::scriptItemMagicAttack","in","int","defenderIndex","The BattleEntity27c defender script index","none"
"Battle::scriptItemMagicAttack","in","int","unused","Unused parameter","none"
"Battle::scriptItemMagicAttack","out","int","damage","The amount of damage done","none"
"Battle::scriptItemMagicAttack","out","int","specialEffects","Status effect bitset (or -1 for none)","none"
"Battle::scriptSetTempItemMagicStats","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptTakeItem","in","reg","itemId","The item ID (or null to take a random item)","none"
"Battle::scriptTakeItem","out","reg","itemTaken","The item ID that was taken (or null if none could be taken)","none"
"Battle::scriptGiveItem","in","reg","itemId","The item ID","none"
"Battle::scriptGiveItem","out","reg","itemGiven","The item ID that was given (or null if none could be given)","none"
"Battle::scriptSetHudTargetBobj","in","int","targetType","0 = characters, 1 = monsters, 2 = any","none"
"Battle::scriptSetHudTargetBobj","in","int","targetBentIndex","The targeted BattleEntity27c script index","none"
"Battle::scriptIsFloatingNumberOnScreen","out","bool","onScreen","True if any floating number is on screen, false otherwise","none"
"Battle::scriptSetDragoonSpaceElementIndex","in","int","charId","The character ID whose element should be used","none"
"Battle::FUN_800f9b94","in","int","p0","","none"
"Battle::FUN_800f9b94","in","int","p1","","none"
"Battle::FUN_800f9bd4","in","int","p0","","none"
"Battle::FUN_800f9c00","in","int","p0","","none"
"Battle::scriptRenderBattleHudBackground","in","int","x","The X position (centre)","none"
"Battle::scriptRenderBattleHudBackground","in","int","y","The Y position (centre)","none"
"Battle::scriptRenderBattleHudBackground","in","int","width","The width","none"
"Battle::scriptRenderBattleHudBackground","in","int","height","The height","none"
"Battle::scriptRenderBattleHudBackground","in","int","colourIndex","The textboxColour index","none"
"Battle::scriptSetDisabledMenuIcons","in","int","iconIndicesBitset","The icons to disable if their flag matches a certain value (unknown)","none"
"Battle::scriptCheckSpellOrStatusHit","in","int","attackerIndex","The BattleEntity27c attacker script index","none"
"Battle::scriptCheckSpellOrStatusHit","in","int","defenderIndex","The BattleEntity27c defender script index","none"
"Battle::scriptCheckSpellOrStatusHit","out","bool","hit","True if attack hit, false otherwise","none"
"Battle::scriptCheckItemHit","in","int","attackerIndex","The BattleEntity27c attacker script index","none"
"Battle::scriptCheckItemHit","in","int","defenderIndex","The BattleEntity27c defender script index","none"
"Battle::scriptCheckItemHit","out","bool","hit","True if attack hit, false otherwise","none"
"Battle::scriptFinishBentTurn","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentZOffset","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentZOffset","in","int","z","The Z offset","none"
"Battle::scriptSetBentScaleUniform","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentScaleUniform","in","int","scale","The uniform scale (12-bit fixed-point)","none"
"Battle::scriptSetBentScale","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentScale","in","int","x","The X scale (12-bit fixed-point)","none"
"Battle::scriptSetBentScale","in","int","y","The Y scale (12-bit fixed-point)","none"
"Battle::scriptSetBentScale","in","int","z","The Z scale (12-bit fixed-point)","none"
"Battle::scriptAttachShadowToBottomOfBentModel","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptDisableBentShadow","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentShadowSize","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentShadowSize","in","int","x","The shadow's X size (12-bit fixed-point)","none"
"Battle::scriptSetBentShadowSize","in","int","z","The shadow's Z size (12-bit fixed-point)","none"
"Battle::scriptSetBentShadowOffset","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentShadowOffset","in","int","x","The shadow's X size (12-bit fixed-point)","none"
